Primary Type,Block,Location Description,Domestic,month,Period_1,Period_2
2,20514,90,0,7,0,0
1,3508,90,1,7,0,1
2,1959,90,0,7,0,1
1,17352,77,1,7,0,0
2,10882,73,0,7,0,0
2,3085,19,0,7,0,1
1,17125,17,1,7,1,0
2,18070,96,0,7,0,1
1,5393,80,1,7,0,1
1,9589,72,0,7,0,1
2,20582,88,0,7,0,1
2,7087,81,0,7,1,0
1,16211,90,1,7,0,1
0,18119,77,1,7,0,1
0,5900,90,0,7,0,0
1,13117,17,1,7,0,0
2,1497,81,0,7,1,0
2,14094,73,0,7,1,0
2,8435,90,0,7,1,0
2,7402,90,0,7,0,1
2,8753,80,0,7,1,0
2,1463,44,0,7,0,0
2,970,87,0,7,0,1
2,1876,78,0,7,1,0
2,881,81,0,7,1,0
2,411,37,0,7,0,1
2,134,19,0,7,0,1
2,562,90,0,7,0,1
2,16125,17,0,7,0,1
0,2843,77,0,7,0,0
2,8092,90,0,7,0,1
1,18013,17,1,7,0,0
2,18017,17,0,7,1,0
2,3350,79,0,7,0,0
2,21264,90,0,7,0,1
2,3609,73,0,7,1,0
2,15975,77,0,7,0,1
2,3076,73,0,7,0,1
1,10791,87,0,7,0,0
0,11171,39,0,7,0,1
2,13732,78,0,7,0,1
2,10969,90,0,7,0,0
2,15937,72,0,7,0,1
1,20061,17,1,7,1,0
2,1614,90,0,7,0,0
2,8099,90,0,7,0,0
2,4225,92,0,7,0,0
2,3981,81,0,7,0,1
2,130,87,0,7,0,1
2,10928,80,0,7,1,0
1,4640,90,0,7,0,0
1,9278,69,0,7,0,1
2,10160,52,0,7,0,0
2,22309,50,0,7,1,0
2,11716,37,0,7,0,1
2,15115,17,0,7,1,0
1,2666,86,1,7,0,1
2,15113,77,0,7,1,0
2,4449,87,0,7,0,0
2,21475,72,0,7,1,0
1,21764,57,0,7,0,1
2,5029,92,0,7,0,1
2,3085,19,0,7,0,1
2,2619,69,0,7,1,0
2,15068,17,0,7,1,0
2,14113,90,0,7,0,1
1,12355,17,1,7,0,0
1,19633,17,1,7,0,1
2,19653,57,0,7,1,0
2,6226,17,0,7,1,0
0,18329,90,0,7,0,1
2,20055,90,0,7,1,0
0,20914,90,1,7,1,0
2,19252,77,1,7,0,0
0,2319,87,0,7,1,0
2,7808,61,0,6,1,0
0,8201,17,1,7,1,0
2,1813,77,0,7,0,0
2,19325,90,0,6,0,1
2,21825,77,0,6,1,0
0,21014,87,0,6,0,1
2,3220,80,0,6,1,0
1,345,81,0,7,0,0
1,19570,77,0,7,0,1
2,19023,96,0,7,0,0
2,20003,81,0,7,0,1
1,4730,77,1,7,1,0
1,18769,90,0,7,0,1
1,11059,90,1,7,1,0
2,17670,85,0,7,0,1
1,18621,87,1,7,0,0
2,1142,90,0,7,1,0
2,4560,77,0,7,1,0
1,21437,69,0,7,0,1
2,4957,72,0,8,0,1
1,21832,90,0,8,0,1
2,5561,78,0,6,0,1
2,16753,17,0,6,0,1
2,12732,77,0,7,0,1
2,16261,77,1,2,0,1
2,14207,50,0,6,0,1
2,11681,50,0,6,1,0
1,1059,77,0,7,0,1
2,20723,69,0,5,0,1
2,7280,69,0,5,0,0
2,11793,77,0,7,0,0
2,11349,15,0,6,0,0
2,2102,69,0,6,0,1
2,11120,50,0,6,1,0
2,526,80,0,6,0,1
2,3920,69,0,7,1,0
1,21140,87,0,7,1,0
2,5701,17,0,6,0,1
2,9944,17,0,6,0,1
2,20545,17,0,6,1,0
1,16961,87,0,7,0,0
2,21795,73,0,7,0,0
2,19805,77,0,7,0,0
1,9104,81,0,8,1,0
1,16870,17,1,8,0,1
2,629,39,0,8,0,1
1,19596,77,1,7,0,0
2,21462,85,0,1,0,1
1,18013,31,0,4,0,1
1,6999,77,0,7,1,0
2,10486,77,0,7,0,0
2,7074,77,0,7,0,0
1,13356,77,0,6,0,0
2,7466,96,1,7,1,0
1,2260,17,0,7,0,1
2,16317,77,0,7,1,0
2,20396,96,0,7,0,0
2,9838,69,0,7,1,0
2,3181,90,0,7,1,0
1,13027,17,1,8,0,1
2,20293,73,0,7,0,0
0,19983,69,0,7,1,0
2,8044,96,0,7,0,1
2,13070,69,0,7,0,1
