Primary Type,Block,Location Description,Domestic,month,day,Period_1,Period_2
3,3525,115,0,7,28,1,0
3,6286,115,0,7,28,0,0
3,14739,88,0,7,28,1,0
2,12657,115,0,7,28,1,0
3,160,115,0,7,28,1,0
3,5607,63,0,7,28,1,0
2,19796,115,0,7,28,1,0
2,11463,112,0,7,28,1,0
3,5614,113,0,7,28,1,0
3,3387,113,0,7,28,1,0
1,11060,115,0,7,28,1,0
1,8394,115,0,7,28,0,0
3,590,123,0,7,28,0,0
2,3066,112,0,7,28,0,1
3,5064,112,0,7,28,1,0
2,17308,112,0,7,28,0,1
2,3667,120,0,7,28,1,0
2,17181,112,0,7,28,1,0
3,13647,115,0,7,28,0,1
3,13013,48,0,7,28,1,0
2,3638,112,0,7,28,0,1
3,9424,70,0,7,28,0,1
3,497,88,0,7,28,0,1
3,3720,46,0,7,28,1,0
2,20092,15,0,7,28,1,0
2,11070,115,0,7,28,0,1
3,2018,17,0,7,28,0,0
3,4003,70,0,7,28,0,1
3,10479,100,0,7,28,0,1
3,4282,70,0,7,28,0,1
3,5929,115,0,7,28,1,0
3,15486,104,0,7,28,0,1
2,18174,112,0,7,28,0,1
2,4002,17,0,7,28,0,1
3,14367,93,0,7,28,0,1
2,4002,17,0,7,28,0,1
3,4647,88,0,7,28,1,0
3,18737,55,0,7,28,0,1
2,2480,115,0,7,28,0,1
3,3827,70,0,7,28,0,1
2,11449,112,0,7,28,0,1
3,3493,114,0,7,28,0,1
3,5614,58,0,7,28,0,1
3,11743,103,0,7,28,1,0
3,4267,55,0,7,28,0,1
3,1725,93,0,7,28,1,0
3,594,55,0,7,28,0,1
3,9524,117,0,7,28,1,0
2,2464,67,0,7,28,0,1
3,6949,100,0,7,28,0,1
2,11625,0,0,7,28,0,1
3,4686,113,0,7,28,0,1
3,941,104,0,7,28,0,1
3,5923,112,0,7,28,0,0
3,3688,113,0,7,28,0,1
3,522,88,0,7,28,1,0
3,5337,115,1,7,28,1,0
3,18737,88,0,7,28,0,1
2,2488,15,0,7,28,0,1
2,466,93,0,7,28,0,1
3,18061,103,0,7,28,0,0
3,16751,115,0,7,28,0,0
2,2464,112,0,7,28,0,1
3,14324,100,0,7,28,0,1
3,17956,101,0,7,28,0,1
3,623,93,0,7,28,0,1
3,16291,58,0,7,28,0,1
2,10516,115,0,7,28,0,1
1,10213,115,0,7,28,0,1
3,4794,113,0,7,28,0,1
3,16333,19,0,7,28,0,1
2,11658,112,0,7,28,0,1
