Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
2,87,0,,,1,22,0,1
2,13,0,,,1,28,0,0
2,13,0,,,1,28,0,0
2,107,0,,,1,28,1,0
2,13,0,,,1,28,1,0
2,98,0,,,1,28,1,0
2,87,0,,,1,28,1,0
2,57,0,,,1,28,1,0
2,98,0,,,1,28,1,0
2,107,0,,,1,4,0,0
2,83,0,,,1,14,0,0
2,91,0,,,1,5,0,1
2,83,0,,,1,7,0,0
2,98,0,,,1,6,0,1
2,89,0,,,1,8,1,0
2,13,0,,,1,8,0,1
2,107,0,,,1,8,0,1
2,107,0,,,1,8,0,1
2,83,0,,,1,14,0,0
2,107,0,,,1,12,1,0
2,83,0,,,1,12,0,0
2,87,0,,,1,14,0,1
2,107,0,,,1,2,0,1
2,13,0,,,1,28,0,1
2,107,0,,,1,28,1,0
2,87,0,,,1,28,1,0
2,98,0,,,1,28,1,0
2,107,0,,,1,28,0,0
2,59,0,,,1,28,0,0
2,98,0,,,1,28,1,0
2,87,0,,,1,28,1,0
1,101,0,41.920635859,-87.69803491399999,7,30,0,0
1,101,0,,,7,30,0,1
2,98,0,41.798521108,-87.69393202100001,7,30,0,0
1,101,0,41.738757117,-87.708144404,7,30,0,0
2,77,0,41.801358629,-87.66169868899999,7,30,1,0
2,98,0,41.894379087,-87.71872025200001,7,30,1,0
2,98,0,41.863406876999996,-87.710455868,7,30,1,0
2,98,0,41.721220015,-87.62743838799999,7,30,1,0
1,87,0,41.807917966,-87.66981341,7,30,0,0
2,98,0,41.778656405,-87.684846319,7,30,1,0
2,12,0,41.880489945,-87.74588749899999,7,30,1,0
1,101,0,41.943297945,-87.739621295,7,30,1,0
2,98,0,41.880330615,-87.758326396,7,30,1,0
2,98,0,41.879266129,-87.74376892,7,30,1,0
1,101,0,41.854559658,-87.70898904100001,7,30,1,0
1,101,0,41.867189726,-87.71628230299999,7,30,1,0
2,98,0,41.876860798,-87.744037046,7,30,1,0
2,101,0,41.974549965,-87.718424447,7,30,0,1
2,98,0,41.87802667,-87.721906346,7,30,1,0
2,98,0,41.854797831999996,-87.71242612,7,30,0,1
1,89,0,41.810737392,-87.749353374,7,30,1,0
2,101,0,41.765175389,-87.58365228299999,7,30,0,1
2,98,0,41.780265789,-87.614057836,7,30,0,1
2,101,0,41.739679343,-87.645259854,7,30,0,1
2,101,0,41.997297917,-87.686210771,7,30,0,1
2,105,0,41.895027541,-87.744538551,7,30,0,1
2,101,0,41.877701562,-87.624305246,7,30,0,1
1,101,0,41.911081837,-87.706777948,7,30,1,0
2,101,0,41.908654139,-87.74482113299999,7,30,0,1
2,101,0,41.924156832,-87.752468885,7,30,0,1
2,98,0,41.681239716,-87.62061622899999,7,30,0,1
2,98,0,41.893111762,-87.75147945299999,7,30,0,1
2,98,0,41.768431981999996,-87.674381043,7,30,0,1
2,88,0,41.708161709,-87.62954058,7,30,0,1
2,107,0,41.961215546999995,-87.70418393799999,7,30,0,1
2,101,0,41.803082183,-87.722179256,7,30,0,0
1,82,0,41.721752619,-87.575340267,7,30,0,1
2,98,0,41.889760548000005,-87.627998797,7,30,0,0
2,106,0,41.894137119,-87.715053346,7,30,0,0
2,101,0,41.799021656,-87.664719405,7,30,0,0
1,101,0,41.730500385,-87.59498030399999,7,30,0,0
1,101,0,41.894282641,-87.72482922200001,7,30,0,1
1,101,0,41.819269537,-87.604802194,7,30,0,0
1,101,0,41.783933495,-87.612957199,7,30,0,0
1,101,0,41.841103444,-87.62685261799999,7,30,0,0
1,87,0,41.795380992,-87.66583541700001,7,30,0,1
1,101,0,41.918578314,-87.636183854,7,30,0,1
1,101,0,41.911191845,-87.766499425,7,30,0,1
1,101,0,41.910335483000004,-87.764247596,7,30,0,1
1,101,0,41.922025604,-87.674860785,7,30,0,0
1,101,0,41.741154742,-87.60979702799999,7,30,0,1
1,101,0,41.912179965,-87.76431938700001,7,30,0,1
1,77,0,41.742843388000004,-87.640213372,7,30,1,0
1,101,0,41.679859794,-87.62202251299999,7,30,1,0
1,101,0,,,6,28,0,1
0,101,0,41.880993552,-87.752639639,7,30,0,0
0,17,0,41.774125258000005,-87.60944125600001,7,30,0,1
1,59,0,41.887711996,-87.617139647,7,31,0,0
1,101,0,41.804126004000004,-87.66849913600001,7,31,0,0
2,90,0,41.798687871,-87.67200640799999,7,31,0,0
1,101,0,41.728470517,-87.620772159,7,31,0,0
2,98,0,41.870973712,-87.736468934,7,31,1,0
1,87,0,41.735341673,-87.647277295,7,31,0,0
2,101,0,41.939248078,-87.759164681,7,31,1,0
2,57,0,41.877780501,-87.745181593,7,31,1,0
1,101,0,41.899739312,-87.644848217,7,31,0,1
2,101,0,41.885633919,-87.74025831,7,31,1,0
2,101,0,41.791615495,-87.659666195,7,31,1,0
1,90,0,41.749198739,-87.556485543,7,31,0,0
2,90,0,41.657964481,-87.613056354,7,31,0,1
2,77,0,41.872632163,-87.716901875,7,31,0,1
2,98,0,41.897850152,-87.711509711,7,31,0,1
2,83,0,41.873699424,-87.704705156,7,31,0,1
2,98,0,41.850957371999996,-87.73231293299999,7,31,0,1
1,101,0,41.80788005,-87.723890613,7,31,0,1
2,97,0,41.697089667,-87.69707612399999,7,31,0,1
2,98,0,41.877238960999996,-87.749302795,7,31,0,1
2,101,0,41.92413265,-87.679090649,7,31,0,0
2,101,0,41.967495638,-87.720669141,7,31,0,0
1,101,0,41.80080022,-87.652616312,7,31,0,1
1,101,0,41.792755894,-87.666984787,7,31,0,1
1,101,0,41.952015729,-87.64788860899999,7,31,0,0
1,101,0,41.807798396,-87.668593214,7,31,0,0
1,101,0,41.95025948,-87.709500746,7,31,0,1
