Primary Type,Location Description,Domestic,Latitude,Longitude,month,day,Period_1,Period_2
2,115,0,41.753498236999995,-87.640454243,7,26,0,0
3,70,0,41.890703830999996,-87.70640419,7,26,0,0
3,91,0,41.823551140999996,-87.676329349,7,26,0,1
3,70,0,41.890703830999996,-87.70640419,7,26,0,1
2,67,0,41.765604748,-87.620497036,7,26,0,0
3,23,0,41.885733129,-87.625505463,7,26,0,0
1,115,0,41.909440599,-87.76033194799999,7,27,0,0
3,115,0,41.746359016999996,-87.64755943899999,7,26,0,1
3,100,0,41.753231357,-87.67200413,7,26,0,0
3,115,0,41.834119961,-87.632785877,7,26,0,0
3,115,0,41.991560549,-87.655432099,7,26,0,0
3,115,0,41.739185933,-87.64857009299999,7,27,0,0
1,115,0,41.739459061999995,-87.602473286,7,26,0,1
3,115,0,41.711393791,-87.68056016700001,7,26,0,1
1,115,0,41.837871585,-87.623435005,7,26,0,0
3,113,0,41.889760548000005,-87.627998797,7,26,0,1
3,17,0,41.754734911,-87.65546716899999,7,26,0,1
3,115,0,41.783775083,-87.705701644,7,26,0,0
1,115,0,41.754235758,-87.710805201,7,26,0,1
1,115,0,41.76133353,-87.611531324,7,26,0,0
3,67,0,41.765067169,-87.61525763,7,27,0,0
1,115,0,41.65423396,-87.60680039,7,26,0,1
3,115,0,41.805308073,-87.615046867,7,26,0,1
3,115,0,41.763764934,-87.621199174,7,26,1,0
1,115,0,41.820363250999996,-87.69302139700001,7,26,0,0
1,114,0,41.848882761999995,-87.734424429,7,27,0,0
3,58,0,41.968891468,-87.68891427,7,27,0,1
3,89,0,41.813985829,-87.655290305,7,26,0,1
3,102,0,41.895094616,-87.63416208,7,27,0,0
3,100,0,41.796656761,-87.797853315,7,27,0,0
3,115,0,41.744839556,-87.726770055,7,26,0,1
3,115,0,41.776966812,-87.587324147,7,26,0,1
3,100,0,42.01210631,-87.69813738399999,7,26,0,1
3,115,0,41.984275742,-87.671122796,7,26,0,0
3,115,0,41.891446861,-87.67203842200001,7,26,0,1
3,100,0,41.688002453,-87.62650558899999,7,26,0,0
3,115,0,41.764424938000005,-87.66623334799999,7,27,1,0
3,35,0,41.773028307,-87.61218107299999,7,26,0,0
3,115,0,41.810850005,-87.740798252,7,26,0,0
3,88,0,41.866341526999996,-87.71115430100001,7,27,1,0
3,115,0,41.791950089000004,-87.800760135,7,26,0,1
2,123,0,41.901976339,-87.71587402200001,7,27,1,0
3,115,0,41.775042244,-87.66286784799999,7,27,1,0
1,115,0,41.968899971,-87.736688239,7,26,0,1
2,115,0,41.888657457,-87.7492392,7,27,1,0
3,42,0,41.876856622,-87.69007471299999,7,27,1,0
3,115,0,41.784837302,-87.720475228,7,26,0,0
3,76,0,41.899945921,-87.627798561,7,27,0,0
3,115,0,41.792171122,-87.615912299,7,26,1,0
3,111,0,41.785187197,-87.608524835,7,27,1,0
3,100,0,41.798311571999996,-87.703693107,7,27,1,0
3,93,0,41.70521055,-87.72089142600001,7,27,1,0
3,55,0,41.834042232,-87.67436899100001,7,27,1,0
3,35,0,41.824937667,-87.6216297,7,27,1,0
3,103,0,41.937214149,-87.731217024,7,26,0,1
3,93,0,41.967236355,-87.767459004,7,26,0,1
3,115,0,41.883209435,-87.764962093,7,26,0,0
2,112,0,41.888658426,-87.748890295,7,27,1,0
3,58,0,41.895732399,-87.687784384,7,27,1,0
2,83,0,41.706768086,-87.657044306,7,27,1,0
3,123,0,41.903072069000004,-87.726314319,7,27,0,0
3,115,0,41.793026434,-87.68891134200001,7,26,0,0
3,100,0,41.886817391,-87.72673263700001,7,27,1,0
3,103,0,41.783222187,-87.73266726,7,27,0,0
1,115,0,41.785823816,-87.715596443,7,27,1,0
3,115,0,41.983963439,-87.715008911,7,26,0,1
2,112,0,41.87616575,-87.726502905,7,27,1,0
3,15,0,41.689494383,-87.621012064,7,27,1,0
2,112,0,41.751142001999995,-87.552885345,7,27,1,0
3,104,0,41.887845852,-87.624560336,7,27,1,0
3,46,0,41.793105159,-87.70110373600001,7,26,0,1
1,100,0,41.785819177,-87.73441404100001,7,26,0,0
1,115,0,41.808895121,-87.60897291100001,7,26,0,0
3,70,0,41.878630715999996,-87.63667329799999,7,26,0,1
3,58,0,41.91058325,-87.726353375,7,26,0,1
2,111,0,41.964415042,-87.656845083,7,27,1,0
2,91,0,41.972013219000004,-87.654896586,7,27,1,0
2,70,0,41.732771785,-87.604728989,7,27,1,0
3,115,0,41.804761397,-87.61803487899999,7,26,0,0
2,15,0,41.89617424,-87.712675623,7,27,0,1
3,101,0,41.911743447,-87.638613205,7,26,0,1
3,103,0,41.868130543,-87.71364819799999,7,27,1,0
1,115,0,41.745664188,-87.671810625,7,27,0,0
2,17,0,41.891322875,-87.75372136899999,7,27,1,0
1,115,0,41.900533416,-87.709375225,7,27,1,0
3,104,0,41.882424852,-87.624377884,7,27,1,0
3,88,0,41.884497529,-87.625838595,7,26,0,1
2,103,0,41.750706929,-87.60274149799999,7,27,1,0
3,113,0,42.018311737,-87.675866628,7,27,0,1
3,115,0,41.878458449,-87.745204753,7,27,1,0
3,102,0,41.812493812,-87.601760994,7,27,0,1
2,112,0,41.878882786999995,-87.724472274,7,27,0,1
1,115,0,41.884783035,-87.740225784,7,27,1,0
1,115,0,41.753099617,-87.67200181700001,7,26,0,0
3,15,0,41.876207514,-87.655003867,7,27,0,1
3,104,0,41.876683313,-87.624283454,7,27,0,1
3,15,0,41.881621685,-87.65682676,7,27,1,0
1,115,0,41.918286213,-87.691514324,7,26,0,1
3,123,0,41.690729013,-87.626739355,7,27,0,1
2,112,0,41.844785593000005,-87.688311464,7,27,0,1
1,115,0,41.901315835,-87.68031174,7,26,1,0
2,115,0,41.721563635,-87.635621535,7,27,0,1
3,55,0,41.742710224,-87.63408818100001,7,27,1,0
1,115,0,41.755633716999995,-87.644173224,7,26,0,0
3,17,0,41.732843345,-87.551322689,7,26,0,1
3,17,0,41.882931813,-87.692918534,7,27,0,1
3,112,0,41.884521086999996,-87.622099893,7,27,0,0
3,70,0,41.953443342,-87.74495704799999,7,27,0,1
3,100,0,41.773916787,-87.787205696,7,27,0,1
3,88,0,41.885369466,-87.63243193,7,27,0,1
3,103,0,41.98760595,-87.821088088,7,27,1,0
3,115,0,41.679157365,-87.625152774,7,26,0,1
3,55,0,41.909664252,-87.742728815,7,27,0,1
3,17,0,41.878962554,-87.688801432,7,27,1,0
1,103,0,41.895074928,-87.742011123,7,27,1,0
3,100,0,41.779704695999996,-87.64750858200001,7,27,0,0
3,93,0,41.892458212,-87.628905681,7,27,1,0
3,113,0,41.737487546,-87.54262310799999,7,27,0,1
3,115,0,41.866517316999996,-87.695178701,7,27,0,1
1,115,0,41.924551184,-87.721146317,7,27,0,1
3,115,0,41.854280524,-87.713693815,7,27,0,1
3,55,0,41.742710224,-87.63408818100001,7,27,0,1
3,113,0,41.919039622,-87.648542921,7,27,0,1
2,112,0,41.869502519,-87.722843039,7,27,0,1
3,55,0,41.869527301,-87.63926875899999,7,26,0,1
1,115,0,41.873948802,-87.682473996,7,27,1,0
2,115,0,41.735434996,-87.647279966,7,27,0,1
3,112,0,41.9090189,-87.677422819,7,27,1,0
3,55,0,41.868541914,-87.639235361,7,26,1,0
3,55,0,41.892753031,-87.62419389600001,7,27,0,1
3,113,0,41.929743818,-87.684273777,7,27,0,1
3,46,0,41.968876081,-87.669833506,7,27,0,1
3,115,0,41.999840224,-87.699705226,7,26,0,0
3,23,0,41.884472382,-87.633378182,7,27,0,1
3,115,0,41.759055505,-87.561259676,7,27,1,0
3,115,0,41.893893173,-87.615127644,7,27,1,0
3,115,0,41.779639479000004,-87.614398473,7,27,1,0
3,115,0,41.822594605,-87.604214183,7,26,0,1
1,115,0,41.825705753,-87.613652178,7,27,0,1
3,113,0,41.880579428000004,-87.627732563,7,27,0,1
3,100,0,41.746759188,-87.605109535,7,27,0,1
2,115,0,41.876200483000005,-87.723733985,7,27,0,1
3,115,0,41.918706127,-87.660366717,7,27,0,1
3,102,0,41.777916579,-87.599290772,7,27,0,0
3,115,0,41.883127232,-87.745900065,7,27,0,1
3,52,0,41.885888079000004,-87.62794223799999,7,27,0,1
3,104,0,41.899146951999995,-87.627733893,7,27,0,1
2,112,0,41.867073727,-87.725924382,7,27,0,1
3,113,0,41.879937206,-87.62772126799999,7,27,0,1
2,115,0,41.888000869,-87.763296356,7,27,0,1
1,115,0,41.788780636999995,-87.60610456,7,26,0,1
1,100,0,41.749634988000004,-87.70904664700001,7,26,0,1
1,115,0,41.90775642,-87.72890397200001,7,26,0,1
3,115,0,41.703870084,-87.675483774,7,26,0,1
3,115,0,41.938820005,-87.804295896,7,26,0,1
3,115,0,41.830792706,-87.643011716,7,26,0,1
3,17,0,42.016183372,-87.684260347,7,27,0,1
3,112,0,41.753807493000004,-87.645336203,7,27,0,1
3,88,0,41.881348623,-87.674525788,7,26,0,1
3,104,0,41.94631018,-87.654297987,7,27,0,1
3,113,0,41.880366516,-87.6243529,7,27,0,1
3,93,0,41.852023717,-87.686627405,7,27,1,0
3,115,0,41.808712454,-87.628576793,7,27,1,0
3,115,0,41.880151328000004,-87.63672287899999,7,27,0,1
3,70,0,42.019399236999995,-87.675049485,7,27,0,1
1,115,0,41.811454311,-87.69185561799999,7,27,1,0
3,100,0,41.910122974000004,-87.761795373,7,26,0,1
2,115,0,41.866755055,-87.722755368,7,27,0,1
3,100,0,41.96108941,-87.76970841200001,7,27,0,1
3,100,0,41.966349072,-87.75625186299999,7,26,0,0
3,91,0,,,7,26,1,0
3,115,0,,,7,26,0,0
1,93,0,41.882254728,-87.763912955,7,27,0,1
1,100,0,41.725596548,-87.563242931,7,26,0,1
2,103,0,41.794960529,-87.671901705,7,27,0,1
3,113,0,41.939300241,-87.71173935799999,7,27,0,1
3,55,0,41.931582515,-87.742747165,7,27,0,1
3,113,0,41.954537863,-87.65114825,7,27,0,1
3,113,0,41.882457198000004,-87.62784777600001,7,27,0,1
3,113,0,41.721194359,-87.66396636799999,7,27,0,1
2,88,0,41.87992868,-87.688828444,7,27,0,1
1,103,0,41.696215644,-87.62418208700001,7,26,0,0
1,115,0,41.810788941,-87.613819175,7,26,1,0
3,104,0,41.983650773,-87.65852096799999,7,27,0,0
2,115,0,41.859906912,-87.712798855,7,27,0,1
2,101,0,41.883011761,-87.754505236,7,27,0,1
3,101,0,41.780614125999996,-87.66303346,7,27,0,1
3,113,0,41.939528239,-87.68207585200001,7,27,0,0
1,93,0,41.910962486,-87.66234009899999,7,27,0,1
3,43,0,41.907470043000004,-87.67292007299999,7,27,0,1
3,91,0,41.775519362,-87.65439048100001,7,27,0,1
3,69,0,41.887966168,-87.63479069600001,7,27,0,1
3,113,0,41.903129577,-87.68075978200001,7,27,0,1
3,91,0,41.917670316999995,-87.630388436,7,27,0,0
2,102,0,41.876862128,-87.74376164,7,27,0,0
3,112,0,41.967534605,-87.67467547,7,27,0,1
2,17,0,41.960999819,-87.77214688,7,27,0,1
2,112,0,41.786559942,-87.67951589299999,7,27,0,0
1,88,0,41.8580016,-87.68581099,7,27,0,1
3,100,0,41.869287141,-87.664938606,7,27,1,0
3,55,0,41.754592961,-87.74152853700001,7,27,0,0
1,100,0,41.715929341,-87.61641654,7,27,0,1
3,115,0,41.904604766999995,-87.64072939,7,27,0,0
3,88,0,41.982816598,-87.674595225,7,27,0,1
2,115,0,41.779760885,-87.644057941,7,27,0,0
3,91,0,41.863273531,-87.61478759200001,7,27,0,0
3,115,0,41.902765473,-87.657661545,7,27,0,1
3,70,0,41.924597175,-87.717430811,7,27,0,0
3,103,0,41.717207814,-87.641880758,7,27,0,1
2,103,0,41.881335904000004,-87.756316052,7,27,0,1
3,115,0,41.802042628,-87.593466361,7,27,0,0
2,112,0,41.894141342,-87.71993458799999,7,27,0,0
2,112,0,41.747538248000005,-87.55039315100001,7,27,0,0
2,115,0,41.961045012,-87.71983013799999,7,27,0,0
2,100,0,41.67132785,-87.657528857,7,27,0,1
3,115,0,41.873535796,-87.675490911,7,27,0,1
3,104,0,41.893240901999995,-87.63034417899999,7,27,0,0
3,34,0,41.657901337,-87.604779419,7,27,0,0
2,115,0,41.744335065,-87.550307481,7,27,0,0
3,115,0,41.881516473000005,-87.63874243299999,7,27,0,0
2,15,0,41.765299634,-87.61162616200001,7,27,0,0
3,115,0,41.883163099,-87.675575778,7,27,0,0
3,76,0,41.872709056,-87.62418785700001,7,27,0,1
3,115,0,41.96798071,-87.762605945,7,27,0,1
3,115,0,41.951706242,-87.803564396,7,27,0,0
3,67,0,41.808833439000004,-87.622824022,7,27,0,1
3,104,0,41.891023035,-87.619141016,7,27,0,1
3,113,0,41.943844128,-87.649380278,7,27,1,0
