Primary Type,Block,Domestic
2,10154,False
1,1158,False
2,1264,False
0,17458,False
2,14600,False
1,2276,False
2,18474,False
2,17394,False
2,7514,False
2,22823,False
2,15225,False
2,5749,False
2,19371,False
1,1724,False
1,3915,False
0,3995,False
1,15670,True
1,18801,False
2,12900,True
1,12475,False
1,18656,True
0,19522,True
2,14517,False
2,17805,False
2,289,False
1,2946,True
2,20534,False
2,12676,False
2,4450,False
1,15268,False
2,19631,False
2,19631,False
0,13483,False
1,17107,True
1,2469,False
2,125,False
2,338,False
1,13576,False
1,16228,True
2,629,False
2,629,False
2,5354,False
0,9144,True
2,1659,False
2,115,False
2,752,False
2,3213,False
2,5428,False
2,1394,False
0,5295,False
1,17350,False
2,1032,False
2,5749,False
2,5418,False
1,2745,False
0,2987,False
1,2731,True
2,9017,False
2,407,False
2,407,False
0,8354,False
1,13370,True
1,20169,True
1,6428,True
0,8851,True
1,6744,True
2,11325,False
0,2249,False
2,3980,False
1,16559,True
2,113,False
1,10566,False
1,8481,False
2,13818,False
0,615,False
2,7999,False
2,629,False
2,2719,False
1,2555,True
1,19267,False
0,22592,False
1,22821,False
2,1264,False
2,7998,False
1,20122,True
1,14940,False
2,22104,True
2,3634,False
1,1201,False
2,13798,False
2,13990,False
2,7273,False
1,19076,False
0,14626,False
0,11920,True
2,18805,True
1,3391,False
2,15897,False
1,3502,True
1,4818,True
0,11096,True
1,13352,False
1,4238,False
1,16881,False
2,1264,False
1,9166,False
2,7857,False
1,1248,False
1,17640,False
1,22152,True
0,22544,False
1,22544,True
1,21969,False
1,22544,True
1,594,True
1,8477,False
1,16347,True
1,10146,True
2,7537,False
1,2122,False
2,6220,False
1,14694,True
2,1264,False
2,5626,False
2,4284,False
1,2597,False
2,3920,False
2,6259,False
0,2257,False
2,97,False
1,9793,True
1,17994,False
1,5840,False
2,19327,False
1,2755,False
0,8181,False
2,22235,True
0,2195,False
0,4335,False
2,17379,False
2,1720,False
2,3218,False
2,8371,False
2,6738,False
2,2036,False
1,22980,False
1,18885,False
2,4284,False
2,411,False
1,15302,True
1,2745,True
2,3920,False
1,11844,True
1,4818,True
1,136,False
1,5480,False
1,9005,False
2,13503,False
1,15670,False
1,11658,True
1,21735,True
2,1264,False
2,1264,False
1,19297,False
1,3320,False
1,17406,False
0,17221,False
2,1264,False
1,19181,True
2,14399,False
2,6525,False
2,2719,False
0,22544,False
1,22968,False
1,21675,True
2,7549,False
1,10216,True
2,407,False
2,6417,False
1,2967,False
1,4067,False
